Velocity Conversion: Feet per Second (fps) to Millimeters per Second (mm/s)
================================================================================

       FPS |            MM/S |   Meters/Second
    3625.0 |       1104900.0 |         1104.90
    3230.0 |        984504.0 |          984.50
    2871.0 |        875080.8 |          875.08
    2539.0 |        773887.2 |          773.89
    2230.0 |        679704.0 |          679.70
    1944.0 |        592531.2 |          592.53
    3240.0 |        987552.0 |          987.55
    3024.0 |        921715.2 |          921.72
    2819.0 |        859231.2 |          859.23
    2623.0 |        799490.4 |          799.49
    2435.0 |        742188.0 |          742.19
    2255.0 |        687324.0 |          687.32
    2580.0 |        786384.0 |          786.38
    2409.0 |        734263.2 |          734.26
    2244.0 |        683971.2 |          683.97
    2086.0 |        635812.8 |          635.81
    1935.0 |        589788.0 |          589.79
    1791.0 |        545896.8 |          545.90
    2580.0 |        786384.0 |          786.38
    2410.0 |        734568.0 |          734.57
    2247.0 |        684885.6 |          684.89
    2090.0 |        637032.0 |          637.03
    1940.0 |        591312.0 |          591.31
    1796.0 |        547420.8 |          547.42
    2735.0 |        833628.0 |          833.63
    2563.0 |        781202.4 |          781.20
    2397.0 |        730605.6 |          730.61
    2237.0 |        681837.6 |          681.84
    2084.0 |        635203.2 |          635.20
    1937.0 |        590397.6 |          590.40
    2930.0 |        893064.0 |          893.06
    2737.0 |        834237.6 |          834.24
    2552.0 |        777849.6 |          777.85
    2375.0 |        723900.0 |          723.90
    2204.0 |        671779.2 |          671.78
    2041.0 |        622096.8 |          622.10
    2840.0 |        865632.0 |          865.63
    2674.0 |        815035.2 |          815.04
    2515.0 |        766572.0 |          766.57
    2361.0 |        719632.8 |          719.63
    2212.0 |        674217.6 |          674.22
    2069.0 |        630631.2 |          630.63
    3300.0 |       1005840.0 |         1005.84
    3023.0 |        921410.4 |          921.41
    2764.0 |        842467.2 |          842.47
    2520.0 |        768096.0 |          768.10
    2288.0 |        697382.4 |          697.38
    2068.0 |        630326.4 |          630.33
    2925.0 |        891540.0 |          891.54
    2708.0 |        825398.4 |          825.40
    2501.0 |        762304.8 |          762.30
    2303.0 |        701954.4 |          701.95
    2114.0 |        644347.2 |          644.35
    1934.0 |        589483.2 |          589.48
    3050.0 |        929640.0 |          929.64
    2826.0 |        861364.8 |          861.36
    2614.0 |        796747.2 |          796.75
    2411.0 |        734872.8 |          734.87
    2217.0 |        675741.6 |          675.74
    2033.0 |        619658.4 |          619.66
    2910.0 |        886968.0 |          886.97
    2719.0 |        828751.2 |          828.75
    2535.0 |        772668.0 |          772.67
    2359.0 |        719023.2 |          719.02
    2190.0 |        667512.0 |          667.51
    2028.0 |        618134.4 |          618.13
    2820.0 |        859536.0 |          859.54
    2615.0 |        797052.0 |          797.05
    2419.0 |        737311.2 |          737.31
    2232.0 |        680313.6 |          680.31
    2053.0 |        625754.4 |          625.75
    1882.0 |        573633.6 |          573.63
    2950.0 |        899160.0 |          899.16
    2756.0 |        840028.8 |          840.03
    2571.0 |        783640.8 |          783.64
    2394.0 |        729691.2 |          729.69
    2223.0 |        677570.4 |          677.57
    2059.0 |        627583.2 |          627.58
    2690.0 |        819912.0 |          819.91
    2536.0 |        772972.8 |          772.97
    2388.0 |        727862.4 |          727.86
    2245.0 |        684276.0 |          684.28
    2106.0 |        641908.8 |          641.91
    1972.0 |        601065.6 |          601.07
    2710.0 |        826008.0 |          826.01
    2564.0 |        781507.2 |          781.51
    2422.0 |        738225.6 |          738.23
    2285.0 |        696468.0 |          696.47
    2152.0 |        655929.6 |          655.93
    2023.0 |        616610.4 |          616.61
    2700.0 |        822960.0 |          822.96
    2556.0 |        779068.8 |          779.07
    2417.0 |        736701.6 |          736.70
    2282.0 |        695553.6 |          695.55
    2151.0 |        655624.8 |          655.62
    2025.0 |        617220.0 |          617.22
    2695.0 |        821436.0 |          821.44
    2567.0 |        782421.6 |          782.42
    2443.0 |        744626.4 |          744.63
    2323.0 |        708050.4 |          708.05
    2206.0 |        672388.8 |          672.39
    2092.0 |        637641.6 |          637.64
    2975.0 |        906780.0 |          906.78
    2782.0 |        847953.6 |          847.95
    2597.0 |        791565.6 |          791.57
    2420.0 |        737616.0 |          737.62
    2250.0 |        685800.0 |          685.80
    2086.0 |        635812.8 |          635.81
    2960.0 |        902208.0 |          902.21
    2808.0 |        855878.4 |          855.88
    2661.0 |        811072.8 |          811.07
    2519.0 |        767791.2 |          767.79
    2381.0 |        725728.8 |          725.73
    2248.0 |        685190.4 |          685.19
    2910.0 |        886968.0 |          886.97
    2775.0 |        845820.0 |          845.82
    2645.0 |        806196.0 |          806.20
    2518.0 |        767486.4 |          767.49
    2395.0 |        729996.0 |          730.00
    2275.0 |        693420.0 |          693.42
    2935.0 |        894588.0 |          894.59
    2734.0 |        833323.2 |          833.32
    2542.0 |        774801.6 |          774.80
    2358.0 |        718718.4 |          718.72
    2182.0 |        665073.6 |          665.07
    2013.0 |        613562.4 |          613.56
    2550.0 |        777240.0 |          777.24
    2227.0 |        678789.6 |          678.79
    1930.0 |        588264.0 |          588.26
    1659.0 |        505663.2 |          505.66
    1421.0 |        433120.8 |          433.12
    1226.0 |        373684.8 |          373.68
    2575.0 |        784860.0 |          784.86
    2343.0 |        714146.4 |          714.15
    2123.0 |        647090.4 |          647.09
    1916.0 |        583996.8 |          584.00
    1722.0 |        524865.6 |          524.87
    1544.0 |        470611.2 |          470.61
    2460.0 |        749808.0 |          749.81
    2250.0 |        685800.0 |          685.80
    2051.0 |        625144.8 |          625.14
    1863.0 |        567842.4 |          567.84
    1687.0 |        514197.6 |          514.20
    1524.0 |        464515.2 |          464.52
    3000.0 |        914400.0 |          914.40
    2648.0 |        807110.4 |          807.11
    2323.0 |        708050.4 |          708.05
    2021.0 |        616000.8 |          616.00
    1744.0 |        531571.2 |          531.57
    1497.0 |        456285.6 |          456.29
    3190.0 |        972312.0 |          972.31
    2945.0 |        897636.0 |          897.64
    2714.0 |        827227.2 |          827.23
    2494.0 |        760171.2 |          760.17
    2285.0 |        696468.0 |          696.47
    2085.0 |        635508.0 |          635.51
    3200.0 |        975360.0 |          975.36
    2984.0 |        909523.2 |          909.52
    2779.0 |        847039.2 |          847.04
    2583.0 |        787298.4 |          787.30
    2396.0 |        730300.8 |          730.30
    2216.0 |        675436.8 |          675.44
    3060.0 |        932688.0 |          932.69
    2852.0 |        869289.6 |          869.29
    2653.0 |        808634.4 |          808.63
    2463.0 |        750722.4 |          750.72
    2281.0 |        695248.8 |          695.25
    2107.0 |        642213.6 |          642.21
    2940.0 |        896112.0 |          896.11
    2747.0 |        837285.6 |          837.29
    2563.0 |        781202.4 |          781.20
    2386.0 |        727252.8 |          727.25
    2216.0 |        675436.8 |          675.44
    2053.0 |        625754.4 |          625.75
    3090.0 |        941832.0 |          941.83
    2894.0 |        882091.2 |          882.09
    2707.0 |        825093.6 |          825.09
    2528.0 |        770534.4 |          770.53
    2355.0 |        717804.0 |          717.80
    2189.0 |        667207.2 |          667.21
    2970.0 |        905256.0 |          905.26
    2796.0 |        852220.8 |          852.22
    2627.0 |        800709.6 |          800.71
    2465.0 |        751332.0 |          751.33
    2308.0 |        703478.4 |          703.48
    2157.0 |        657453.6 |          657.45
    3150.0 |        960120.0 |          960.12
    2907.0 |        886053.6 |          886.05
    2678.0 |        816254.4 |          816.25
    2460.0 |        749808.0 |          749.81
    2252.0 |        686409.6 |          686.41
    2054.0 |        626059.2 |          626.06
    3100.0 |        944880.0 |          944.88
    2918.0 |        889406.4 |          889.41
    2744.0 |        836371.2 |          836.37
    2576.0 |        785164.8 |          785.16
    2414.0 |        735787.2 |          735.79
    2258.0 |        688238.4 |          688.24
    2680.0 |        816864.0 |          816.86
    2456.0 |        748588.8 |          748.59
    2242.0 |        683361.6 |          683.36
    2040.0 |        621792.0 |          621.79
    1848.0 |        563270.4 |          563.27
    1670.0 |        509016.0 |          509.02
    2675.0 |        815340.0 |          815.34
    2435.0 |        742188.0 |          742.19
    2207.0 |        672693.6 |          672.69
    1992.0 |        607161.6 |          607.16
    1790.0 |        545592.0 |          545.59
    1604.0 |        488899.2 |          488.90
    2910.0 |        886968.0 |          886.97
    2694.0 |        821131.2 |          821.13
    2488.0 |        758342.4 |          758.34
    2291.0 |        698296.8 |          698.30
    2103.0 |        640994.4 |          640.99
    1925.0 |        586740.0 |          586.74
